ship_id,cargo_containers,time_arrived_port,time_docked,time_crane_secured,time_unloading_complete,time_departed_port,wait_time_for_berth,wait_time_for_crane,turnaround_time
1,166,56,56,56,388,388,0,0,332
2,198,417,417,417,813,813,0,0,396
3,126,575,575,575,827,827,0,0,252
5,94,705,827,827,1015,1015,122,0,310
4,140,685,813,813,1093,1093,128,0,408
6,90,725,1015,1015,1195,1195,290,0,470
7,190,732,1093,1093,1473,1473,361,0,741
8,217,974,1195,1195,1629,1629,221,0,655
9,146,1084,1473,1473,1765,1765,389,0,681
10,200,1232,1629,1629,2029,2029,397,0,797
11,168,1234,1765,1765,2101,2101,531,0,867
12,117,1655,2029,2029,2263,2263,374,0,608
13,168,1869,2101,2101,2437,2437,232,0,568
14,226,1898,2263,2263,2715,2715,365,0,817
15,148,1922,2437,2437,2733,2733,515,0,811
17,19,1990,2733,2733,2771,2771,743,0,781
18,191,2079,2771,2771,3153,3153,692,0,1074
16,228,1946,2715,2715,3171,3171,769,0,1225
20,135,2188,3171,3171,3441,3441,983,0,1253
19,154,2147,3153,3153,3461,3461,1006,0,1314
22,50,2221,3461,3461,3561,3561,1240,0,1340
21,154,2217,3441,3441,3749,3749,1224,0,1532
23,139,2231,3561,3561,3839,3839,1330,0,1608
24,167,2245,3749,3749,4083,4083,1504,0,1838
25,223,2263,3839,3839,4285,4285,1576,0,2022
26,124,2310,4083,4083,4331,4331,1773,0,2021
27,109,2316,4285,4285,4503,4503,1969,0,2187
28,124,2338,4331,4331,4579,4579,1993,0,2241
29,195,2365,4503,4503,4893,4893,2138,0,2528
30,166,2366,4579,4579,4911,4911,2213,0,2545
31,123,2394,4893,4893,5139,5139,2499,0,2745
32,175,2400,4911,4911,5261,5261,2511,0,2861
33,154,2402,5139,5139,5447,5447,2737,0,3045
34,198,2491,5261,5261,5657,5657,2770,0,3166
35,114,2592,5447,5447,5675,5675,2855,0,3083
36,133,2642,5657,5657,5923,5923,3015,0,3281
37,130,2653,5675,5675,5935,5935,3022,0,3282
38,76,2656,5923,5923,6075,6075,3267,0,3419
39,164,2690,5935,5935,6263,6263,3245,0,3573
40,163,2708,6075,6075,6401,6401,3367,0,3693
41,150,2712,6263,6263,6563,6563,3551,0,3851
42,138,2732,6401,6401,6677,6677,3669,0,3945
43,79,2733,6563,6563,6721,6721,3830,0,3988
44,128,2805,6677,6677,6933,6933,3872,0,4128
45,132,2814,6721,6721,6985,6985,3907,0,4171
46,109,2847,6933,6933,7151,7151,4086,0,4304
47,141,2858,6985,6985,7267,7267,4127,0,4409
48,170,2880,7151,7151,7491,7491,4271,0,4611
49,244,2904,7267,7267,7755,7755,4363,0,4851
50,158,2910,7491,7491,7807,7807,4581,0,4897
51,162,3015,7755,7755,8079,8079,4740,0,5064
52,146,3059,7807,7807,8099,8099,4748,0,5040
53,54,3144,8079,8079,8187,8187,4935,0,5043
54,148,3211,8099,8099,8395,8395,4888,0,5184
55,153,3239,8187,8187,8493,8493,4948,0,5254
57,140,3318,8493,8493,8773,8773,5175,0,5455
56,273,3315,8395,8395,8941,8941,5080,0,5626
58,165,3324,8773,8773,9103,9103,5449,0,5779
59,148,3326,8941,8941,9237,9237,5615,0,5911
60,91,3338,9103,9103,9285,9285,5765,0,5947
61,207,3397,9237,9237,9651,9651,5840,0,6254
62,187,3435,9285,9285,9659,9659,5850,0,6224
64,104,3699,9659,9659,9867,9867,5960,0,6168
63,189,3646,9651,9651,10029,10029,6005,0,6383
66,79,3833,10029,10029,10187,10187,6196,0,6354
65,220,3739,9867,9867,10307,10307,6128,0,6568
67,179,3851,10187,10187,10545,10545,6336,0,6694
69,100,4055,10545,10545,10745,10745,6490,0,6690
68,259,4045,10307,10307,10825,10825,6262,0,6780
70,121,4575,10745,10745,10987,10987,6170,0,6412
71,154,4752,10825,10825,11133,11133,6073,0,6381
72,124,4779,10987,10987,11235,11235,6208,0,6456
73,72,4780,11133,11133,11277,11277,6353,0,6497
75,96,5130,11277,11277,11469,11469,6147,0,6339
74,153,4982,11235,11235,11541,11541,6253,0,6559
77,104,5463,11541,11541,11749,11749,6078,0,6286
76,173,5286,11469,11469,11815,11815,6183,0,6529
79,110,5526,11815,11815,12035,12035,6289,0,6509
78,227,5473,11749,11749,12203,12203,6276,0,6730
80,133,5541,12035,12035,12301,12301,6494,0,6760
